Name,Description,File Name,Quantity
M20-889_CONTACT001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
J5,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51346e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-88904_MOULD001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT004,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT005,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT006,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT007,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
R24,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89859e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
R26,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89858e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
term1,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
term2,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
body,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
SW002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
TL1015AF160QG001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
TL1015 BODY001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
TL1015 COVER001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
